Id,y
10000,-66.00242349023114
10001,451.4065044011551
10002,-461.676417060299
10003,40.50120875372345
10004,-126.7447224540372
10005,-342.53455181925113
10006,-396.55554211358896
10007,335.5412790790874
10008,-99.5124208706236
10009,304.8125398062757
10010,68.89453048978561
10011,412.3691954559071
10012,54.94237102476792
10013,-17.005550754779655
10014,-597.8499575722615
10015,443.50228878641485
10016,144.7744869780434
10017,-57.41116367253671
10018,134.3878275774605
10019,-108.98377598910855
10020,153.8248284250669
10021,611.7359836022026
10022,588.3896503384221
10023,-131.01679995801976
10024,-61.13562114122949
10025,-374.24849531697294
10026,74.15799307965423
10027,137.43837873610448
10028,420.0866117967903
10029,196.765625713443
10030,268.4428498005316
10031,638.474910251109
10032,127.37873138691968
10033,1.349118758399948
10034,22.710453177407793
10035,342.23953452256495
10036,307.7039669741719
10037,348.1382087009399
10038,-168.65286130735458
10039,-20.221130904617397
10040,-551.7499275731114
10041,-429.97180406674033
10042,261.891958706744
10043,389.8204261292212
10044,-96.16562227356572
10045,-210.71080125632446
10046,278.8818687840113
10047,-427.4533010310493
10048,-172.90325291756744
10049,467.2643783557855
10050,-631.558735587439
10051,-355.53165933817877
10052,143.173275538604
10053,69.19920259894214
10054,275.5882739767256
10055,-263.1886122041024
10056,167.49830723241246
10057,104.57789589014234
10058,230.07008661007555
10059,20.988026644576486
10060,-4.822581262501364
10061,-201.92294081063733
10062,560.06392656577
10063,55.28847625244908
10064,671.301574691835
10065,-493.74873828522857
10066,-279.3530367325921
10067,-53.71252761314799
10068,379.69819550097577
10069,315.07141085798156
10070,169.13001732614305
10071,-271.5993032690113
10072,783.802222675034
10073,44.57731151554853
10074,57.40678005457736
10075,-161.07827414306809
10076,-220.66957847885735
10077,223.24129442929166
10078,352.66559554375453
10079,13.163291366265662
10080,-461.9941469857302
10081,305.3721466914235
10082,-230.59656173861129
10083,359.07444324254385
10084,-430.2605633759213
10085,-115.54882205546217
10086,-88.96006387867362
10087,-488.2901898080421
10088,-139.35033854713495
10089,57.3388081085265
10090,-190.3362427216643
10091,-6.508092914824436
10092,189.29107774701822
10093,346.60367818565527
10094,871.6273206485897
10095,-147.01353738653853
10096,443.4899377794298
10097,-30.498432974437158
10098,185.46345753445922
10099,-119.91717151732823
10100,43.57523800180757
